Member Name,Amount,Agency,Agency Email,Days Late,Member ID,Phone,Email
John Doe,1250.50,ABC Collections,agent@abccollections.com,45,M12345,555-0123,john.doe@example.com
Jane Smith,3500.00,ABC Collections,agent@abccollections.com,67,M12346,555-0124,jane.smith@example.com
Bob Johnson,750.25,XYZ Recovery,,30,M12347,555-0125,bob.johnson@example.com
Alice Williams,2100.00,XYZ Recovery,contact@xyzrecovery.com,90,M12348,555-0126,
Michael Brown,5000.00,Premier Debt Solutions,info@premierdebt.com,120,M12349,555-0127,michael.brown@example.com
Sarah Davis,890.75,Premier Debt Solutions,info@premierdebt.com,15,M12350,,sarah.davis@example.com
David Wilson,1650.00,Rapid Collections,,45,M12351,555-0129,
Emma Martinez,4200.50,Rapid Collections,,80,M12352,555-0130,emma.martinez@example.com
Chris Anderson,999.99,First Rate Agency,admin@firstrateagency.com,35,M12353,555-0131,chris.anderson@example.com
Lisa Taylor,3300.00,First Rate Agency,admin@firstrateagency.com,105,M12354,555-0132,lisa.taylor@example.com
